ID,Name,Pronouns,Concentration,N_Connections,KL_Divergence,prior_mean_she_her,prior_mean_he_him,prior_mean_xe_xer,prior_mean_they_them,prior_mean_she_they,prior_mean_he_they,post_mean_she_her,post_mean_he_him,post_mean_xe_xer,post_mean_they_them,post_mean_she_they,post_mean_he_they
38,William Yoder,he/him,9.164,2,0.04896,0.1871,0.456,0.0367,0.091,0.1828,0.0464,0.1536,0.4639,0.1197,0.0747,0.15,0.0381
77,Danielle White,he/him,7.796,3,0.04875,0.4348,0.327,0.0381,0.0802,0.1038,0.0161,0.4066,0.3288,0.1202,0.0579,0.0749,0.0116
141,Bryan Thompson,he/him,9.935,2,0.04842,0.2381,0.5051,0.0439,0.07,0.026,0.1168,0.1982,0.4204,0.0365,0.1421,0.0216,0.181
51,Steven Lutz,he/him,8.147,3,0.04807,0.4265,0.3895,0.008,0.116,0.0289,0.0312,0.5808,0.2847,0.0058,0.0848,0.0211,0.0228
211,Nicole Hickman,they/them,9.792,1,0.04764,0.2571,0.3503,0.014,0.3182,0.038,0.0225,0.2332,0.3178,0.0127,0.2887,0.1271,0.0204
260,Wendy Olson,she/her,9.711,1,0.0473,0.4322,0.2589,0.0396,0.1151,0.0887,0.0656,0.3919,0.2347,0.1292,0.1043,0.0804,0.0595
80,Nicole Garcia,he/him,9.986,3,0.0471,0.2489,0.5076,0.0781,0.0581,0.0826,0.0247,0.2684,0.4673,0.0601,0.0447,0.0635,0.096
223,David Dorsey,he/him,15.532,2,0.04605,0.0987,0.3555,0.0156,0.3194,0.1348,0.0759,0.1445,0.315,0.0709,0.283,0.1195,0.0672
44,Harold Peck,they/them,8.471,3,0.046,0.2608,0.4022,0.0415,0.1396,0.0671,0.0888,0.1926,0.3842,0.0306,0.1903,0.1367,0.0656
90,Christopher Austin,he/they,11.671,3,0.04599,0.3824,0.2213,0.0197,0.174,0.0177,0.1848,0.3724,0.2442,0.0838,0.1384,0.0141,0.147
210,Thomas Lewis,she/her,9.483,3,0.04549,0.3733,0.1393,0.0411,0.0529,0.1485,0.2449,0.3637,0.1859,0.0312,0.1203,0.1128,0.186
175,Sherry Gutierrez,she/they,8.584,3,0.04524,0.4121,0.3531,0.0101,0.0496,0.082,0.0932,0.3053,0.4343,0.0075,0.0368,0.0607,0.1554
37,Lisa Anderson,she/her,8.087,2,0.04471,0.2973,0.2791,0.1342,0.1819,0.0301,0.0775,0.2383,0.3229,0.1076,0.1458,0.0241,0.1612
172,Denise Davis,he/him,11.196,3,0.0444,0.3781,0.2202,0.0185,0.2007,0.0346,0.1478,0.2982,0.2441,0.0146,0.2288,0.0977,0.1166
20,Lorraine Aguilar,he/him,7.67,2,0.04425,0.2452,0.4968,0.0439,0.1198,0.0289,0.0654,0.1945,0.4975,0.0348,0.095,0.0229,0.1553
96,Daniel Herring,he/him,8.333,3,0.04408,0.3077,0.4687,0.0449,0.0727,0.0397,0.0664,0.3145,0.4329,0.033,0.0535,0.1174,0.0488
233,Danielle Barber,he/him,12.687,3,0.04336,0.2823,0.3965,0.0105,0.2323,0.0526,0.0259,0.2283,0.4482,0.0085,0.1879,0.0425,0.0847
43,Steven Martin MD,she/her,10.657,2,0.04326,0.3783,0.3189,0.0365,0.1864,0.0496,0.0303,0.3185,0.3475,0.1098,0.157,0.0418,0.0255
187,Roy Bauer,xe/xer,13.021,2,0.04251,0.3053,0.5016,0.0422,0.0698,0.0204,0.0607,0.3312,0.4348,0.0365,0.0605,0.0843,0.0526
29,Brandon Anderson,she/her,8.847,3,0.0424,0.5333,0.3768,0.022,0.0237,0.0123,0.0318,0.4827,0.3658,0.0165,0.0177,0.0092,0.1082
217,Keith Green,she/her,10.339,2,0.04177,0.2968,0.4,0.0071,0.1391,0.1126,0.0444,0.3297,0.3352,0.006,0.1166,0.0943,0.1183
72,Rachel Miller,she/her,10.517,2,0.04156,0.4737,0.1099,0.002,0.2625,0.086,0.066,0.398,0.1722,0.0017,0.2205,0.1521,0.0555
97,Mary Todd,he/him,14.578,3,0.04082,0.3876,0.3953,0.0094,0.0818,0.0706,0.0554,0.3783,0.3847,0.0647,0.0678,0.0585,0.0459
162,Christy Boyd,they/them,6.991,1,0.04077,0.3879,0.4432,0.0171,0.1149,0.0091,0.0278,0.3394,0.3878,0.0149,0.2257,0.0079,0.0243
98,Alexander Banks,she/they,10.922,3,0.03992,0.1876,0.3803,0.0447,0.0878,0.2697,0.0299,0.1472,0.3702,0.035,0.0689,0.2834,0.0953
33,Kristen Bell,she/her,8.407,3,0.03952,0.4957,0.1347,0.0829,0.2301,0.02,0.0366,0.453,0.187,0.1488,0.1696,0.0147,0.027
178,Thomas Payne,they/them,10.531,2,0.03928,0.2207,0.3746,0.1089,0.106,0.1337,0.0563,0.2653,0.3148,0.0915,0.0891,0.1123,0.1271
248,Kara Allen,she/her,10.092,2,0.03895,0.3849,0.4005,0.0077,0.047,0.0618,0.0981,0.3212,0.4169,0.0064,0.122,0.0516,0.0819
296,Samuel Harris,she/her,14.704,3,0.03876,0.5147,0.2788,0.008,0.1006,0.075,0.0229,0.4275,0.2881,0.0066,0.1965,0.0623,0.019
257,Ronald Larsen,she/her,13.905,2,0.0386,0.3272,0.4848,0.0162,0.0969,0.0204,0.0544,0.3489,0.4238,0.0142,0.0848,0.0807,0.0476
58,Cynthia White,they/them,9.125,1,0.03826,0.2796,0.488,0.0299,0.1214,0.0117,0.0693,0.252,0.4398,0.027,0.1094,0.0105,0.1613
191,Brent Gomez,he/him,8.128,3,0.03806,0.2319,0.4359,0.0164,0.1343,0.102,0.0795,0.3491,0.4083,0.0119,0.0981,0.0745,0.058
109,Cheryl Brown,they/them,11.287,2,0.03737,0.1645,0.2829,0.0144,0.2188,0.2751,0.0444,0.1397,0.3156,0.0122,0.1858,0.2337,0.1129
95,Nicole Garza,they/them,10.498,1,0.03628,0.3135,0.4131,0.0535,0.1057,0.0257,0.0885,0.2862,0.3772,0.1358,0.0965,0.0235,0.0808
63,Michele Day,they/them,9.48,2,0.03624,0.3937,0.2373,0.0286,0.2496,0.0285,0.0623,0.4122,0.1959,0.0236,0.2061,0.0235,0.1386
42,Meagan Villanueva,he/him,13.158,2,0.03609,0.4539,0.2957,0.0254,0.1314,0.0202,0.0734,0.46,0.2567,0.088,0.114,0.0176,0.0637
123,Steven Hernandez,she/her,9.963,2,0.03573,0.414,0.249,0.0261,0.1633,0.0762,0.0714,0.3448,0.3745,0.0217,0.136,0.0635,0.0595
118,Cheryl Jones,xe/xer,6.842,1,0.03535,0.2918,0.2231,0.0791,0.2069,0.1449,0.0542,0.2546,0.1947,0.069,0.1805,0.2539,0.0473
146,Kenneth Gonzalez,he/they,9.581,2,0.03534,0.1274,0.5717,0.0396,0.1401,0.0253,0.096,0.1917,0.4729,0.0328,0.2023,0.0209,0.0794
54,Shane Thompson,she/they,10.58,3,0.03484,0.3104,0.4038,0.1285,0.0634,0.0796,0.0142,0.2418,0.5355,0.1001,0.0494,0.062,0.0111
263,Mrs. Kayla Singh,he/they,10.669,3,0.03458,0.2554,0.3846,0.0606,0.1482,0.0108,0.1405,0.3457,0.3002,0.0473,0.1888,0.0084,0.1096
88,Nathan Hall,she/her,10.248,3,0.03456,0.3885,0.3488,0.0216,0.0953,0.041,0.1049,0.3005,0.3453,0.0167,0.1492,0.0317,0.1566
256,Scott Blake,they/them,11.512,3,0.03406,0.2446,0.4787,0.0345,0.1276,0.0237,0.0909,0.3319,0.3797,0.0274,0.1702,0.0188,0.0721
218,Nicole Vang,she/they,9.861,2,0.03393,0.4256,0.1308,0.0137,0.0782,0.2906,0.0611,0.4382,0.1088,0.0114,0.065,0.2416,0.1351
19,Mr. Jeffrey Gardner,he/him,9.803,1,0.03298,0.3817,0.3683,0.1347,0.0741,0.0095,0.0317,0.3464,0.3342,0.1222,0.1598,0.0086,0.0288
8,Jacob Wright,she/her,11.086,2,0.03296,0.4448,0.228,0.021,0.1109,0.0985,0.0967,0.3768,0.3459,0.0178,0.094,0.0835,0.082
78,James Peterson,he/him,8.63,3,0.03285,0.2365,0.4152,0.0775,0.1213,0.0979,0.0516,0.1755,0.4801,0.0575,0.176,0.0727,0.0383
286,Michelle Johnson,they/them,7.005,1,0.03251,0.3561,0.3833,0.0483,0.1535,0.0119,0.0469,0.3116,0.3354,0.0423,0.2593,0.0104,0.041
120,Tracy Rodgers,she/they,7.322,2,0.03237,0.2681,0.3758,0.034,0.16,0.1032,0.0589,0.3179,0.2952,0.0267,0.2329,0.081,0.0463
184,Richard Wilson,she/they,9.392,2,0.03235,0.3195,0.2949,0.085,0.0815,0.131,0.0881,0.2634,0.3309,0.0701,0.0672,0.108,0.1604
105,Christopher Hughes,he/him,9.663,3,0.03156,0.3861,0.3022,0.0548,0.0824,0.0922,0.0823,0.3736,0.3096,0.1208,0.0628,0.0704,0.0628
64,Alyssa Martinez,he/him,10.757,2,0.03152,0.2228,0.5183,0.0777,0.0784,0.0594,0.0434,0.2663,0.4371,0.0655,0.1445,0.0501,0.0366
159,Eric Taylor,she/her,4.255,3,0.03113,0.4416,0.3742,0.0287,0.0625,0.0185,0.0745,0.5347,0.3573,0.0168,0.0367,0.0109,0.0437
124,Tammie Garcia,he/him,7.51,3,0.03091,0.1446,0.4222,0.088,0.1485,0.0375,0.1593,0.1985,0.3968,0.0628,0.2013,0.0268,0.1138
201,David Johnson,she/her,10.387,1,0.03052,0.2833,0.4919,0.0203,0.0989,0.0327,0.073,0.2584,0.4487,0.0185,0.0902,0.0299,0.1544
287,Dawn Wong,he/him,8.468,2,0.0304,0.1347,0.3603,0.0817,0.3221,0.0714,0.0298,0.1089,0.4825,0.0661,0.2606,0.0577,0.0241
238,Robert Morales,she/her,12.841,1,0.02996,0.5016,0.2265,0.0127,0.0448,0.1699,0.0445,0.4653,0.2101,0.0118,0.0416,0.1576,0.1136
279,Amber Mcdaniel,she/her,6.842,2,0.02919,0.2792,0.4695,0.01,0.1575,0.0558,0.0281,0.216,0.5895,0.0077,0.1219,0.0432,0.0217
205,Tanya Coleman,she/her,6.959,3,0.02906,0.3674,0.3387,0.0146,0.0903,0.0627,0.1262,0.3571,0.4375,0.0102,0.0631,0.0438,0.0882
222,Morgan Wu,she/her,8.228,2,0.02889,0.3671,0.3877,0.0073,0.1686,0.0159,0.0535,0.2953,0.5074,0.0058,0.1357,0.0128,0.043
7,Cindy Mercado,they/them,8.829,3,0.02887,0.3569,0.2713,0.0725,0.0802,0.1186,0.1005,0.3509,0.287,0.0541,0.1444,0.0885,0.075
67,Michael Mclaughlin,she/her,6.163,2,0.02875,0.5214,0.3258,0.0097,0.0195,0.0878,0.0358,0.6386,0.246,0.0073,0.0148,0.0663,0.027
143,Brenda Gordon,he/him,5.992,2,0.02864,0.1686,0.4836,0.0589,0.0821,0.1951,0.0117,0.2516,0.4877,0.0441,0.0615,0.1463,0.0088
126,Jennifer Ruiz,he/him,12.36,2,0.02805,0.2252,0.3785,0.0038,0.2006,0.0449,0.147,0.3331,0.3258,0.0033,0.1727,0.0386,0.1265
212,Savannah Thomas,she/her,9.207,3,0.02804,0.374,0.265,0.1508,0.0971,0.0861,0.0269,0.364,0.3637,0.1138,0.0732,0.065,0.0203
170,Lisa Miller,she/her,7.336,2,0.02787,0.3259,0.4448,0.0069,0.1648,0.0224,0.0352,0.3632,0.3495,0.0054,0.2366,0.0176,0.0276
41,Brittany Duarte,he/him,11.747,3,0.02773,0.2748,0.2161,0.028,0.0849,0.1559,0.2403,0.2867,0.3077,0.0223,0.0676,0.1242,0.1914
236,Christopher Lawson,they/them,13.151,2,0.02773,0.3562,0.3867,0.0189,0.1557,0.0103,0.0721,0.3092,0.3356,0.0164,0.2012,0.009,0.1286
34,Kelly Mcclain,he/him,11.253,3,0.02699,0.2114,0.4539,0.0631,0.1166,0.0634,0.0917,0.1669,0.4285,0.0498,0.1622,0.0501,0.1425
131,Matthew Oneal,he/they,12.104,2,0.02685,0.298,0.243,0.1029,0.2741,0.0627,0.0193,0.2558,0.3504,0.0883,0.2353,0.0538,0.0165
243,Brandon Arnold,she/her,10.102,3,0.02672,0.2332,0.4787,0.0425,0.0836,0.1345,0.0274,0.3324,0.4454,0.0328,0.0645,0.1037,0.0212
150,Bobby Garcia,he/him,8.455,1,0.02667,0.1361,0.3365,0.0032,0.4154,0.0101,0.0986,0.2275,0.3009,0.0029,0.3715,0.009,0.0882
83,John Morton,xe/xer,8.197,1,0.0266,0.1449,0.4345,0.2108,0.0274,0.0297,0.1526,0.2379,0.3873,0.1879,0.0245,0.0265,0.136
215,Daniel Jensen,he/him,9.594,3,0.02641,0.3769,0.3094,0.049,0.0699,0.0875,0.1073,0.3665,0.3151,0.0373,0.1327,0.0667,0.0818
264,Edward Wheeler,he/him,7.893,1,0.02629,0.1577,0.3826,0.0215,0.1557,0.0195,0.263,0.2525,0.3396,0.0191,0.1382,0.0173,0.2335
152,Derek King,she/her,12.012,3,0.02614,0.3188,0.3258,0.0998,0.1124,0.0636,0.0796,0.3217,0.2607,0.1465,0.1566,0.0509,0.0637
48,Donna Ross,he/they,9.185,3,0.02606,0.1625,0.1883,0.009,0.2049,0.0776,0.3576,0.2046,0.224,0.0068,0.2365,0.0585,0.2696
224,Amanda Nolan,xe/xer,8.148,2,0.02603,0.2337,0.2053,0.0395,0.1914,0.0306,0.2994,0.2862,0.1649,0.0317,0.2522,0.0246,0.2404
265,Craig Brooks,xe/xer,9.695,1,0.026,0.3861,0.2815,0.0797,0.1067,0.0336,0.1123,0.35,0.2552,0.0723,0.1902,0.0305,0.1018
189,Melissa Snyder,they/them,10.57,2,0.0259,0.3349,0.1808,0.0245,0.3626,0.0838,0.0135,0.2816,0.152,0.0206,0.3845,0.15,0.0114
142,Alyssa Owens,xe/xer,8.458,2,0.02579,0.4074,0.3424,0.0372,0.1224,0.0291,0.0614,0.5207,0.277,0.0301,0.099,0.0236,0.0497
183,William Gilbert,she/her,11.097,3,0.02528,0.393,0.4361,0.0194,0.0486,0.0697,0.0333,0.3803,0.4142,0.0153,0.1092,0.0549,0.0262
253,William Gonzalez,she/they,12.372,3,0.02501,0.2681,0.1624,0.2868,0.1108,0.1219,0.05,0.3459,0.1958,0.2308,0.0892,0.0981,0.0402
242,Sherri Stout,he/him,11.28,3,0.02478,0.1978,0.4732,0.0798,0.1304,0.0693,0.0494,0.1563,0.5839,0.0631,0.103,0.0547,0.0391
147,Ashley Butler,he/him,10.996,1,0.02443,0.4548,0.2298,0.1016,0.0967,0.0284,0.0888,0.4169,0.2106,0.0931,0.0886,0.026,0.1647
166,Jamie Whitney,he/him,10.894,1,0.02423,0.4694,0.2641,0.0345,0.0916,0.0592,0.0812,0.4299,0.2419,0.0316,0.168,0.0542,0.0744
204,Shelley Smith,xe/xer,10.357,2,0.02367,0.4056,0.0933,0.0667,0.2146,0.1716,0.0483,0.4209,0.1591,0.0559,0.1798,0.1438,0.0405
230,Christopher Lee,he/they,10.965,1,0.02344,0.198,0.3814,0.0268,0.1889,0.1105,0.0945,0.1815,0.3495,0.0245,0.1731,0.1013,0.1702
237,Sheila Harris,he/him,9.582,2,0.02331,0.2923,0.2538,0.0018,0.2869,0.1345,0.0307,0.2418,0.21,0.0015,0.3237,0.1976,0.0254
182,Christine Cooke,they/them,10.096,3,0.02282,0.1354,0.5472,0.0029,0.1619,0.0335,0.1191,0.1044,0.6509,0.0023,0.1248,0.0258,0.0918
32,Crystal Stephens,he/him,9.004,2,0.02268,0.4151,0.3378,0.0167,0.1672,0.0215,0.0417,0.5214,0.2764,0.0137,0.1368,0.0176,0.0341
295,Sydney Brown,she/her,12.033,3,0.02267,0.3217,0.3287,0.0515,0.1419,0.0808,0.0754,0.2575,0.3961,0.0412,0.1801,0.0647,0.0604
168,Mrs. Lisa Dougherty,she/they,9.003,1,0.02267,0.2028,0.2739,0.0157,0.1464,0.211,0.1501,0.1825,0.2465,0.0142,0.2318,0.1899,0.1351
102,Ronald Martinez,he/him,10.777,2,0.02256,0.3654,0.4042,0.0656,0.0919,0.0291,0.0438,0.3082,0.4192,0.0553,0.1557,0.0245,0.037
280,Charles Rogers,he/him,13.186,3,0.02223,0.4266,0.3453,0.0342,0.1345,0.0145,0.0448,0.4093,0.3431,0.0278,0.1096,0.0118,0.0983
1,Cory Anderson,xe/xer,10.976,2,0.02223,0.4066,0.2911,0.1075,0.1,0.0901,0.0047,0.421,0.2462,0.091,0.0846,0.1533,0.004
285,Maria Nelson,xe/xer,8.25,2,0.02206,0.4637,0.2762,0.0686,0.079,0.097,0.0155,0.5683,0.2223,0.0552,0.0636,0.0781,0.0125
194,Jennifer Phillips,xe/xer,11.695,1,0.02205,0.4186,0.4105,0.0308,0.0894,0.0209,0.0297,0.3857,0.3782,0.0284,0.1611,0.0193,0.0274
91,Joy Huffman,he/they,11.037,1,0.02204,0.1761,0.4394,0.0862,0.0389,0.1012,0.1583,0.1615,0.4029,0.0791,0.0357,0.1758,0.1451
