ID,Name,Pronouns,Baseline_Probability
152,Randall Singh,she/her,0.276
153,Christopher Stokes,they/them,0.25
154,Marcus Ingram,she/her,0.276
155,Dr. Daisy Johnson MD,he/him,0.24
156,Jamie Jones,he/him,0.24
157,Jennifer Thompson,she/her,0.276
158,Kenneth Cunningham,they/them,0.25
159,John Wolf,xe/xer,0.234
160,Jennifer Jackson,she/her,0.276
161,Heather Chaney DDS,he/him,0.24
162,Patricia Norman,xe/xer,0.234
163,Nancy Espinoza,he/him,0.24
164,Eric Davis,they/them,0.25
165,Gregory Nelson,he/him,0.24
166,Amy Smith,xe/xer,0.234
167,Ashley Miller,she/her,0.276
168,Alexa Novak,she/her,0.276
169,Jay Osborn,he/him,0.24
170,Jeffrey Allen,she/her,0.276
171,Andrew Patterson,she/her,0.276
172,Thomas Gomez,xe/xer,0.234
173,Rhonda Reed,they/them,0.25
174,Christine Lane,she/her,0.276
175,Patricia Keith,xe/xer,0.234
176,Lisa Vasquez,they/them,0.25
177,Joy Anthony,they/them,0.25
178,Thomas Green,she/her,0.276
179,Charles Martinez,xe/xer,0.234
180,Terri Adams,xe/xer,0.234
181,Alexa Stewart,she/her,0.276
182,Kristen Moss,they/them,0.25
183,Nathan Wilson,they/them,0.25
184,Joseph Hunter,he/him,0.24
185,Jennifer Thompson,she/her,0.276
186,Katherine Smith,they/them,0.25
187,Jessica Cortez,he/him,0.24
188,Sarah Smith DVM,he/him,0.24
189,Lisa Allen,xe/xer,0.234
190,Bobby Lopez,she/her,0.276
191,Christopher Baird,xe/xer,0.234
192,Roberto Buckley,he/him,0.24
193,Savannah Melton,they/them,0.25
194,Grace Cruz,he/him,0.24
195,Valerie Robinson,they/them,0.25
196,Holly Cortez,she/her,0.276
197,Douglas Gray,he/him,0.24
198,Carmen Ross,they/them,0.25
199,Derek Davis,he/him,0.24
200,Erica Weber,she/her,0.276
201,Kristina Dalton,xe/xer,0.234
202,Kevin Freeman,they/them,0.25
203,Jason Gutierrez,she/her,0.276
204,Maria Finley,xe/xer,0.234
205,Benjamin Green,she/her,0.276
206,Kristina Phillips PhD,he/him,0.24
207,Stephen Garcia,they/them,0.25
208,Claudia Miller MD,xe/xer,0.234
209,Kendra Moody,they/them,0.25
210,Teresa Olsen,xe/xer,0.234
211,Kirsten Chang,she/her,0.276
212,Michael Bentley,xe/xer,0.234
213,Mario Garcia,xe/xer,0.234
214,Ashley Small,she/her,0.276
215,Jasmine Hood,she/her,0.276
216,Joseph Porter,he/him,0.24
217,Scott Gonzalez,xe/xer,0.234
218,Keith Brown,they/them,0.25
219,Jennifer Harvey,they/them,0.25
220,Alexa Ward,xe/xer,0.234
221,David Evans,she/her,0.276
222,Carol Lee,xe/xer,0.234
223,Kayla Gonzales,they/them,0.25
224,Melissa Ferrell,she/her,0.276
225,John Hall,they/them,0.25
226,Heather Warner,they/them,0.25
227,Shane Dorsey,he/him,0.24
228,Stephanie Hernandez,he/him,0.24
229,Richard Cervantes,he/him,0.24
230,Kimberly Harding,xe/xer,0.234
231,Matthew Clark,they/them,0.25
232,John Gutierrez,he/him,0.24
233,Kelly Smith,she/her,0.276
234,Eric Nichols,she/her,0.276
235,Jeffrey Smith,xe/xer,0.234
236,Lori Bryant,xe/xer,0.234
237,Robert Wright,they/them,0.25
238,Susan Williams,she/her,0.276
239,Amanda York,she/her,0.276
240,Mitchell Adams,xe/xer,0.234
241,Bryan Wagner,he/him,0.24
242,Laura Scott,he/him,0.24
243,Christopher Winters,they/them,0.25
244,Michelle Stanley,she/her,0.276
245,Tiffany Cole,xe/xer,0.234
246,Taylor Maddox,he/him,0.24
247,Danielle Dillon,he/him,0.24
248,Mark Walker,she/her,0.276
249,Roger Wilson,they/them,0.25
250,Laura Mason,they/them,0.25
251,Amanda Jones,xe/xer,0.234
252,Brooke Mann,she/her,0.276
253,Erin Bryant,xe/xer,0.234
254,Albert Garcia,he/him,0.24
255,Brian Rodriguez,xe/xer,0.234
256,Steven Stephens,xe/xer,0.234
257,Michael Nichols,she/her,0.276
258,Abigail Ramirez,he/him,0.24
259,Alex Juarez,she/her,0.276
260,Patrick Velez,he/him,0.24
261,Samantha Singleton,she/her,0.276
262,Gwendolyn Warren,they/them,0.25
263,James Rivera,he/him,0.24
264,Christina Gonzales,he/him,0.24
265,Kenneth Wallace,they/them,0.25
266,Michael Berry,they/them,0.25
267,Julie Flores,he/him,0.24
268,Lori Reyes,she/her,0.276
269,Stephanie Beasley,xe/xer,0.234
270,Veronica Lozano,they/them,0.25
271,Krystal Martinez,they/them,0.25
272,Sarah Mcdonald,they/them,0.25
273,Christopher Andrews,they/them,0.25
274,Christopher Neal,he/him,0.24
275,Andrew Martinez,she/her,0.276
276,Angela Rush,he/him,0.24
277,Traci Lloyd,xe/xer,0.234
278,Renee Love,she/her,0.276
279,Ricardo Jones,he/him,0.24
280,Donna Sharp,she/her,0.276
281,Jessica Ferguson,xe/xer,0.234
282,Ariel Navarro,they/them,0.25
283,Lisa Johnson,xe/xer,0.234
284,Crystal Chapman,xe/xer,0.234
285,Jerry Warren,they/them,0.25
286,Dylan Larsen,they/them,0.25
287,William Smith,they/them,0.25
288,Kevin Barnes,they/them,0.25
289,Mary Shaw,he/him,0.24
290,Julian Franklin,they/them,0.25
291,David Obrien,xe/xer,0.234
292,Carl Huynh,she/her,0.276
293,Adam Brewer,xe/xer,0.234
294,Caroline Goodman,she/her,0.276
295,Philip Dunn,xe/xer,0.234
296,Laura Montoya,they/them,0.25
297,Jessica Harrell,she/her,0.276
298,Brandon Moore,he/him,0.24
299,Jonathan Allen,she/her,0.276
300,Amy Shaw,xe/xer,0.234
301,Michelle Mason,she/her,0.276
302,Thomas Wilson,xe/xer,0.234
303,Anita Franco,she/her,0.276
304,Shawn Hunt,they/them,0.25
305,Jessica Clark,they/them,0.25
306,Kevin Martin,he/him,0.24
307,Brandon Hale,he/him,0.24
308,Kenneth Davis,he/him,0.24
309,Clinton Jones,xe/xer,0.234
310,Yolanda Sullivan,they/them,0.25
311,Susan Ward,he/him,0.24
312,Erik Fischer,they/them,0.25
313,Antonio Molina,he/him,0.24
314,Dr. Brandon Moore DDS,she/her,0.276
315,Kelly Roth,she/her,0.276
316,Ruben Powers,xe/xer,0.234
317,James Cordova,they/them,0.25
318,Jamie Snyder,they/them,0.25
319,Cynthia Adams,they/them,0.25
320,Rhonda Hart,he/him,0.24
321,Michelle Jordan,they/them,0.25
322,Leonard Diaz,he/him,0.24
323,Dennis Ramirez,they/them,0.25
324,Ashley Elliott,he/him,0.24
325,Kathleen Lee,he/him,0.24
326,Pamela Arroyo,she/her,0.276
327,Amber Smith,she/her,0.276
328,Shawn Mcmillan,xe/xer,0.234
329,Katrina Murray,he/him,0.24
330,Suzanne Ortega,she/her,0.276
331,Yolanda Nguyen,xe/xer,0.234
332,Samantha Palmer,he/him,0.24
333,Mark Wright,she/her,0.276
334,Julie Cochran,xe/xer,0.234
335,Carrie Hudson,he/him,0.24
336,Melinda Summers,she/her,0.276
337,Bonnie Harris,xe/xer,0.234
338,Ryan Myers,he/him,0.24
339,Garrett Harris,xe/xer,0.234
340,Rebecca Stevenson,xe/xer,0.234
341,Dean Harrington,she/her,0.276
342,Tracie Shea,xe/xer,0.234
343,Sean Herrera,he/him,0.24
344,Brent Martinez,he/him,0.24
345,Brenda Knight,he/him,0.24
346,Donna Cortez,they/them,0.25
347,Jennifer Lowe,they/them,0.25
348,Brandon Robbins,she/her,0.276
349,Jacob Hamilton,xe/xer,0.234
350,Dustin Coleman,they/them,0.25
351,Dr. Jennifer Miller,she/her,0.276
352,Dustin Lowe,he/him,0.24
353,Frank Miller,xe/xer,0.234
354,Kelly Jones,she/her,0.276
355,Lindsay Rosales,he/him,0.24
356,Brooke Reynolds,xe/xer,0.234
357,Katie Gordon,he/him,0.24
358,Crystal Mcfarland,she/her,0.276
359,Connor Fields,xe/xer,0.234
360,Erica Stevens,she/her,0.276
361,Angela Shields,she/her,0.276
362,Nicholas Santana,xe/xer,0.234
363,Claudia Herrera,xe/xer,0.234
364,Paul Chavez,xe/xer,0.234
365,Danny Burns,she/her,0.276
366,Monica Sanchez,they/them,0.25
367,Brittany Guerra,they/them,0.25
368,Jessica Scott,he/him,0.24
369,Shane Greene,they/them,0.25
370,Jeffrey Reid,she/her,0.276
371,Kayla Burns,xe/xer,0.234
372,Carol Sanders,xe/xer,0.234
373,Thomas Barrett,she/her,0.276
374,Teresa Clayton,she/her,0.276
375,Alex Barrera,he/him,0.24
376,Jessica Lee,she/her,0.276
377,Jessica Mclaughlin,she/her,0.276
378,Aaron Banks,she/her,0.276
379,Samantha Morales,xe/xer,0.234
380,Heather Adams,she/her,0.276
381,Michael Estrada,he/him,0.24
382,Hannah Price,they/them,0.25
383,Connie Dawson,he/him,0.24
384,Angel Rasmussen,they/them,0.25
385,Rachel Guzman,they/them,0.25
386,Christopher Baker PhD,she/her,0.276
387,Charles Hoffman,he/him,0.24
388,Andrea Martin,she/her,0.276
389,Michael Love,he/him,0.24
390,Tammy Hines,she/her,0.276
391,Valerie Hernandez,xe/xer,0.234
392,Justin Ross,he/him,0.24
393,John Wilson,she/her,0.276
394,John Lloyd,xe/xer,0.234
395,Walter Park,xe/xer,0.234
396,Nancy Aguilar,they/them,0.25
397,Jacob Nguyen,he/him,0.24
398,Luis Wallace,he/him,0.24
399,Paul Paul,xe/xer,0.234
400,Karen Sanchez,he/him,0.24
401,Jamie Dickerson,she/her,0.276
402,Jose Crawford,xe/xer,0.234
403,Manuel Sellers,xe/xer,0.234
404,Alyssa Harris,they/them,0.25
405,Heather Smith,he/him,0.24
406,Kyle Smith,she/her,0.276
407,Shane Anderson,she/her,0.276
408,Eric Schroeder,she/her,0.276
409,Jamie Armstrong,they/them,0.25
410,Michelle Maldonado,she/her,0.276
411,Lisa Stephens,xe/xer,0.234
412,Susan Sanchez,he/him,0.24
413,Stephanie Parker,she/her,0.276
414,Tammy Gardner,they/them,0.25
415,Megan Berry,they/them,0.25
416,Roy Chavez,xe/xer,0.234
417,Jamie Johnson,he/him,0.24
418,Sharon Wells,xe/xer,0.234
419,Robert Jones,she/her,0.276
420,Matthew Bates,they/them,0.25
421,Julia Avery,he/him,0.24
422,Christopher Bryant,she/her,0.276
423,Joanna Barber,xe/xer,0.234
424,Joseph Sims,xe/xer,0.234
425,Shelby Hutchinson,xe/xer,0.234
426,Matthew Maddox,he/him,0.24
427,Dr. Linda Griffith,xe/xer,0.234
428,Andrew Smith MD,xe/xer,0.234
429,Madeline Martinez,he/him,0.24
430,Jennifer Chavez,she/her,0.276
431,Ashley Garcia,he/him,0.24
432,Anthony Rivera,xe/xer,0.234
433,Yvette Garrett,they/them,0.25
434,Rebecca Nelson,she/her,0.276
435,Patrick Atkins DDS,xe/xer,0.234
436,John Walsh,he/him,0.24
437,Jessica Shelton MD,they/them,0.25
438,Abigail Mitchell,he/him,0.24
439,Jennifer Sullivan MD,xe/xer,0.234
440,Selena Lambert,he/him,0.24
441,Brenda Singleton,she/her,0.276
442,Nicole Campbell,she/her,0.276
443,Kelli Fernandez,she/her,0.276
444,Stephanie Gallagher,they/them,0.25
445,Duane Castaneda,xe/xer,0.234
446,Amy Johnson,she/her,0.276
447,Joshua Pineda,they/them,0.25
448,Lisa Ferguson,xe/xer,0.234
449,James Flynn,she/her,0.276
450,Carly Cox,they/them,0.25
451,Angela Murray,they/them,0.25
452,Jordan Carrillo,she/her,0.276
453,Crystal Jackson,they/them,0.25
454,Elizabeth Campbell,he/him,0.24
455,Alexander Perez,she/her,0.276
456,Virginia Price,she/her,0.276
457,Helen Morrow,they/them,0.25
458,Christopher Hernandez,he/him,0.24
459,Sean Moore,they/them,0.25
460,Samantha Thomas,she/her,0.276
461,Jason Townsend,she/her,0.276
462,Allison Ramos,xe/xer,0.234
463,Melissa Decker,she/her,0.276
464,Julie Stafford,they/them,0.25
465,Wanda Austin,they/them,0.25
466,Joseph Wilson,they/them,0.25
467,David Jones,he/him,0.24
468,Julia Miles,he/him,0.24
469,Richard Mccall,she/her,0.276
470,John Grant,xe/xer,0.234
471,Aaron Meyer,he/him,0.24
472,James Church,he/him,0.24
473,Joseph Morris,he/him,0.24
474,Jacqueline Kane,she/her,0.276
475,Susan Sanchez,she/her,0.276
476,Kathleen Williams,xe/xer,0.234
477,Robert Jackson,he/him,0.24
478,Elizabeth Aguilar,he/him,0.24
479,Jeffrey Montoya,they/them,0.25
480,Scott Richardson,he/him,0.24
481,Allen Weber,they/them,0.25
482,John Reyes,they/them,0.25
483,Dr. Melanie Robinson,xe/xer,0.234
484,Gregory Vargas,he/him,0.24
485,Kyle West,xe/xer,0.234
486,Edward Camacho,she/her,0.276
487,Misty Goodman,she/her,0.276
488,Lisa Paul,she/her,0.276
489,Jason Wilson,they/them,0.25
490,Danny Moran,she/her,0.276
491,Tara Johnson,xe/xer,0.234
492,Dr. Raymond Mayo,they/them,0.25
493,Rebecca Hall,she/her,0.276
494,Andrew Bolton,they/them,0.25
495,Andrew Roberts,he/him,0.24
496,Natalie Stanley,he/him,0.24
497,Jared Coleman,they/them,0.25
498,Christopher Randolph,she/her,0.276
499,Brian Sandoval,she/her,0.276
500,Debra Cox,they/them,0.25
